Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
alternate lateral pulldown,back,1,High,Push,Machine,15-20,1,No description provided,General,
assisted parallel close grip pull-up,back,4,Low,Isolation,Barbell,12-15,4,No description provided,General,
assisted pull-up,back,3,Medium,Core,Machine,Max Effort,2,No description provided,General,
barbell pullover to press,back,2,High,Pull,Band,12-15,3,No description provided,General,
barbell bent over row,back,2,Low,Isolation,Body Weight,12-15,1,No description provided,General,
barbell decline bent arm pullover,back,1,High,Core,Cable,12-15,4,No description provided,General,
barbell decline wide-grip pullover,back,2,Medium,Isolation,Cable,12-15,3,No description provided,General,
barbell incline row,back,5,Low,Isolation,Barbell,8-12,2,No description provided,General,
barbell one arm bent over row,back,4,High,Cardio,None,Max Effort,3,No description provided,General,
barbell pullover,back,2,Low,Compound,Body Weight,15-20,2,No description provided,General,
barbell shrug,back,5,High,Push,Barbell,15-20,2,No description provided,General,
barbell reverse grip bent over row,back,4,Medium,Compound,Body Weight,Max Effort,4,No description provided,General,
cable bar lateral pulldown,back,3,Medium,Compound,Cable,Max Effort,1,No description provided,General,
cable cross-over lateral pulldown,back,5,Medium,Isolation,None,8-12,3,No description provided,General,
cable decline seated wide-grip row,back,2,Low,Core,Barbell,12-15,4,No description provided,General,
cable floor seated wide-grip row,back,5,Medium,Pull,Dumbbell,Max Effort,3,No description provided,General,
cable high row (kneeling),back,4,High,Pull,Dumbbell,15-20,1,No description provided,General,
cable incline pushdown,back,5,Low,Compound,Machine,Max Effort,4,No description provided,General,
cable lateral pulldown (with rope attachment),back,2,High,Isolation,Body Weight,15-20,1,No description provided,General,
cable low seated row,back,1,High,Core,Cable,8-12,2,No description provided,General,
cable lying extension pullover (with rope attachment),back,1,High,Push,Barbell,8-12,1,No description provided,General,
cable one arm bent over row,back,2,Low,Compound,Machine,8-12,2,No description provided,General,
cable one arm straight back high row (kneeling),back,4,High,Pull,Band,12-15,3,No description provided,General,
cable pulldown (pro lat bar),back,2,Medium,Core,Kettlebell,15-20,1,No description provided,General,
cable pulldown,back,2,Low,Push,Kettlebell,Max Effort,1,No description provided,General,
